start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
中兴通讯,2082,杰瑞股份,2287,compete,0
中国平安,3348,贵州茅台,272,compete,0
分众传媒,1431,中国联通,707,compete,0
贵州茅台,272,宁德时代,743,compete,0
宁德时代,743,贵州茅台,272,compete,0
宁德时代,743,智飞生物,615,compete,0
创新医疗,506,药明康德,2150,compete,0
江铃汽车,1239,中国神华,554,compete,0
赣锋锂业,3216,宁德时代,743,compete,0
通威股份,2045,迈为股份,2698,compete,0
华创阳安,3631,京东方,1784,compete,0
云图控股,1760,京沪高铁,2653,compete,0
长远锂科,3921,中信证券,3564,compete,0
大冷股份,762,国泰君安,3285,compete,0
龙利得,2827,*ST工新,1246,compete,0
药明康德,2150,华大基因,12,compete,0
广发证券,3414,浦发银行,2525,compete,0
宁德时代,743,温氏股份,3413,compete,0
千山药机,3872,唐德影视,2013,compete,0
蓝思科技,2377,比亚迪,1600,compete,0
世纪华通,2168,金盾股份,2226,compete,0
三聚环保,2007,上海家化,1995,compete,0
恒生电子,949,科蓝软件,3382,compete,0
泰格医药,1082,北京文化,481,compete,0
隆基股份,2032,伟明环保,189,compete,0
红宝丽,2197,航锦科技,245,cooperate,1
浙富控股,1165,葛洲坝,756,cooperate,1
中兴通讯,2082,特发信息,2899,cooperate,1
中兴通讯,2082,寒武纪,262,cooperate,1
中兴通讯,2082,安科瑞,3897,cooperate,1
中兴通讯,2082,中国联通,707,cooperate,1
中兴通讯,2082,许继电气,2328,cooperate,1
中兴通讯,2082,天迈科技,3135,cooperate,1
中兴通讯,2082,三一重工,3548,cooperate,1
中兴通讯,2082,中国电信,217,cooperate,1
中兴通讯,2082,苏交科,981,cooperate,1
中兴通讯,2082,奇安信,2360,cooperate,1
中兴通讯,2082,中国石化,2840,cooperate,1
中兴通讯,2082,宁德时代,743,cooperate,1
中兴通讯,2082,国泰君安,3285,cooperate,1
中兴通讯,2082,广电网络,2467,cooperate,1
中兴通讯,2082,新凤鸣,3154,cooperate,1
中兴通讯,2082,光大银行,649,cooperate,1
中兴通讯,2082,民生银行,560,cooperate,1
中兴通讯,2082,长安汽车,783,cooperate,1
中兴通讯,2082,大中矿业,1110,cooperate,1
中兴通讯,2082,上海银行,2391,cooperate,1
中兴通讯,2082,金智科技,1614,cooperate,1
中兴通讯,2082,佳都科技,934,cooperate,1
中兴通讯,2082,贵州茅台,272,cooperate,1
中兴通讯,2082,天津港,530,cooperate,1
中兴通讯,2082,中集集团,2341,cooperate,1
中兴通讯,2082,美亚光电,352,cooperate,1
中兴通讯,2082,国电南自,3612,cooperate,1
中兴通讯,2082,千方科技,1178,cooperate,1
中兴通讯,2082,浙大网新,3797,cooperate,1
中兴通讯,2082,新松机器人,207,cooperate,1
中兴通讯,2082,闻泰科技,3886,cooperate,1
中兴通讯,2082,中信银行,1400,cooperate,1
中兴通讯,2082,格力电器,906,cooperate,1
中兴通讯,2082,中国石油,781,cooperate,1
潜能恒信,139,广电运通,2508,cooperate,1
潜能恒信,139,中国石油,781,cooperate,1
小康股份,469,宁德时代,743,cooperate,1
小康股份,469,东风汽车,3116,cooperate,1
小康股份,469,工商银行,1134,cooperate,1
仁东控股,1605,兴业银行,1866,cooperate,1
卧龙地产,3566,浙江龙盛,2272,cooperate,1
江苏阳光,1299,东阳光,2815,cooperate,1
广电运通,2508,奇安信,2360,cooperate,1
广电运通,2508,长沙银行,841,cooperate,1
广电运通,2508,中信银行,1400,cooperate,1
广电运通,2508,建设银行,3014,cooperate,1
比亚迪,1600,宁德时代,743,cooperate,1
比亚迪,1600,华友钴业,2524,cooperate,1
比亚迪,1600,国新能源,3304,cooperate,1
比亚迪,1600,四川路桥,3687,cooperate,1
比亚迪,1600,信维通信,3482,cooperate,1
比亚迪,1600,长安汽车,783,cooperate,1
比亚迪,1600,广州港,287,cooperate,1
比亚迪,1600,格林美,3968,cooperate,1
比亚迪,1600,格力电器,906,cooperate,1
比亚迪,1600,科大国创,1448,cooperate,1
比亚迪,1600,孚能科技,441,cooperate,1
比亚迪,1600,光弘科技,2344,cooperate,1
比亚迪,1600,中国汽研,2393,cooperate,1
比亚迪,1600,中科电气,1492,cooperate,1
比亚迪,1600,广汽集团,1853,cooperate,1
比亚迪,1600,多氟多,1175,cooperate,1
比亚迪,1600,中节能太阳能,1027,cooperate,1
比亚迪,1600,广汇汽车,1788,cooperate,1
比亚迪,1600,东风汽车,3116,cooperate,1
比亚迪,1600,深科技,2204,cooperate,1
复星医药,2702,重药控股,191,cooperate,1
复星医药,2702,凯因科技,258,cooperate,1
复星医药,2702,之江生物,739,cooperate,1
复星医药,2702,艾力斯,3386,cooperate,1
白云山,3021,药明康德,2150,cooperate,1
万达信息,568,中国人寿,3498,cooperate,1
万达信息,568,国际医学,677,cooperate,1
上汽集团,3666,上港集团,3416,cooperate,1
上汽集团,3666,中兴通讯,2082,cooperate,1
上汽集团,3666,每日互动,3051,cooperate,1
上汽集团,3666,东山精密,2735,cooperate,1
上汽集团,3666,张江高科,1726,cooperate,1
上汽集团,3666,宁德时代,743,cooperate,1
上汽集团,3666,江淮汽车,1607,cooperate,1
上汽集团,3666,大华股份,3848,cooperate,1
上汽集团,3666,广汽集团,1853,cooperate,1
上汽集团,3666,中国船舶,2346,cooperate,1
上汽集团,3666,江铃汽车,1239,cooperate,1
上汽集团,3666,中金公司,3854,cooperate,1
上汽集团,3666,山东高速,2074,cooperate,1
安彩高科,3206,光电股份,3083,cooperate,1
安彩高科,3206,豫能控股,3901,cooperate,1
中国广核,2088,中广核技,2274,cooperate,1
中国广核,2088,金风科技,1222,cooperate,1
中国广核,2088,中国核电,2073,cooperate,1
中国联通,707,中国电信,217,cooperate,1
中国联通,707,长安汽车,783,cooperate,1
中国联通,707,中兴通讯,2082,cooperate,1
中国联通,707,东方航空,2817,cooperate,1
中国联通,707,万达电影,3136,cooperate,1
中国联通,707,中国石化,2840,cooperate,1
中国联通,707,中电兴发,2298,cooperate,1
中国联通,707,雅戈尔,2682,cooperate,1
中国联通,707,特变电工,3851,cooperate,1
中国联通,707,亨通光电,2991,cooperate,1
中国联通,707,东方电气,951,cooperate,1
中国联通,707,烽火通信,2877,cooperate,1
中国联通,707,五粮液,2724,cooperate,1
中国联通,707,中国银行,561,cooperate,1
中国联通,707,格力电器,906,cooperate,1
中国联通,707,东软集团,1909,cooperate,1
中国联通,707,白云机场,2055,cooperate,1
中国联通,707,圆通速递,692,cooperate,1
中国联通,707,招商银行,3568,cooperate,1
中国联通,707,广和通,2038,cooperate,1
中国联通,707,紫光国微,3427,cooperate,1
中国联通,707,奇安信,2360,cooperate,1
中国联通,707,京东方,1784,cooperate,1
中国联通,707,移远通信,910,cooperate,1
中国联通,707,贵州茅台,272,cooperate,1
中国联通,707,江铃汽车,1239,cooperate,1
中国联通,707,航天信息,3163,cooperate,1
中国联通,707,网宿科技,1427,cooperate,1
中国联通,707,人民网,1283,cooperate,1
中国联通,707,大智慧,3396,cooperate,1
中国联通,707,数据港,2098,cooperate,1
中国电信,217,中国联通,707,cooperate,1
中国电信,217,长安汽车,783,cooperate,1
中国电信,217,中国汽研,2393,cooperate,1
中国电信,217,中兴通讯,2082,cooperate,1
中国电信,217,三一重工,3548,cooperate,1
中国电信,217,中国银行,561,cooperate,1
中国电信,217,飞力达,3506,cooperate,1
中国电信,217,华胜天成,1807,cooperate,1
中国电信,217,科华控股,1539,cooperate,1
中国电信,217,科大讯飞,308,cooperate,1
中国电信,217,友阿股份,3436,cooperate,1
中国电信,217,东方航空,2817,cooperate,1
中国电信,217,国盾量子,2066,cooperate,1
中国电信,217,美的集团,2444,cooperate,1
中国电信,217,苏宁易购,2308,cooperate,1
中国电信,217,网宿科技,1427,cooperate,1
中国电信,217,紫光国微,3427,cooperate,1
中国电信,217,东风汽车,3116,cooperate,1
中国电信,217,金科股份,1087,cooperate,1
中国电信,217,四维图新,1752,cooperate,1
中国电信,217,东软集团,1909,cooperate,1
中国电信,217,号百控股,2348,cooperate,1
中国电信,217,高新兴,1257,cooperate,1
中国电信,217,中金公司,3854,cooperate,1
中国电信,217,汇纳科技,548,cooperate,1
中国电信,217,传化智联,3718,cooperate,1
中国电信,217,绿盟科技,3838,cooperate,1
中国电信,217,易联众,1824,cooperate,1
中国电信,217,中国电建,15,cooperate,1
中国电信,217,数码科技,1480,cooperate,1
中国电信,217,辰安科技,1902,cooperate,1
中国电信,217,中国石化,2840,cooperate,1
中国电信,217,紫光股份,2927,cooperate,1
中国电信,217,中科曙光,3772,cooperate,1
中国电信,217,深信服,854,cooperate,1
光大银行,649,光大证券,3030,cooperate,1
光大银行,649,中兴通讯,2082,cooperate,1
紫金矿业,10,龙净环保,626,cooperate,1
紫金矿业,10,盾安环境,49,cooperate,1
千方科技,1178,宁德时代,743,cooperate,1
千方科技,1178,四维图新,1752,cooperate,1
千方科技,1178,易华录,2178,cooperate,1
新天科技,3094,力盛赛车,3494,cooperate,1
新天科技,3094,汉威科技,2594,cooperate,1
南京医药,181,恩华药业,3331,cooperate,1
中国软件,3295,神州数码,2908,cooperate,1
中国软件,3295,比亚迪,1600,cooperate,1
